Year,IMDB ID,Runtime,Rating
2017,7026230,66,7
2005,436629,75,8
2001,300195,65,7
2001,329374,0,7
2017,2018111,99,8
2000,208185,79,7
2018,5117670,95,6
2007,996605,91,7
2017,7614404,91,8
2011,2057931,107,7
2018,4103724,108,6
2018,7379330,0,7
2015,5818010,58,7
2015,2522908,0,7
2017,7133554,100,7
2018,7167602,86,6
2018,5085924,92,6
2017,6143568,95,6
2016,2349677,72,6
2017,5030452,90,6
2017,6900092,96,7
2018,6543420,85,9
2017,5903088,97,7
2017,7630164,93,6
2016,4456850,105,6
2005,1537196,0,6
2017,5478478,134,8
2018,4500922,141,7
2018,1259528,140,7
2017,6413410,128,6
2007,841046,96,7
2003,322330,97,7
2017,6101820,97,7
2018,2388986,105,7
2013,2636806,92,7
2007,983213,63,8
2017,5598102,89,8
2017,6294822,116,8
2017,6738046,119,6
2017,6190198,113,8
2017,5742374,89,8
2014,3496892,85,5
2018,6874964,99,8
2015,2989350,100,9
2004,340012,104,10
2018,2243900,116,5
2017,7260048,109,6
2015,5079382,99,7
2005,368709,123,9
2001,250371,113,8
2016,2317088,75,7
2018,1413492,130,4
2018,1590193,105,5
2016,6135042,116,6
2002,303361,93,7
2017,7215388,82,8
2017,6522634,112,9
